Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
Guard Easy Cook Sella Rice Extra Extra Long Grain 5 Kg,5 Kg,"1,885","1,875",Out of stock,Rice & pulses,QNE
Reem Rice Awami 1kg,1 kg,140,125,Out of stock,Rice & pulses,QNE
Guard Tukra Broken Basmati Rice 1Kg,1 Kg,160,150,Out of stock,Rice & pulses,QNE
Guard Ultimate Nature's Longest Basmati Rice  1 Kg,1 Kg,435,425,Out of stock,Rice & pulses,QNE
Falak Daily Rice 5 kg,5 kg,"1,160","1,150",Out of stock,Rice & pulses,QNE
Falak Extreme Basmati Rice 5 kg,5 kg,"2,440","2,395",Out of stock,Rice & pulses,QNE
Reem Rice Steem Red 1kg,1 kg,150,145,Out of stock,Rice & pulses,QNE
Shahenshah Bachat 5kg,5 kg,810,800,Out of stock,Rice & pulses,QNE
Daal Masoor Black Whole 1kg,1 kg,225,215,Out of stock,Rice & pulses,QNE
Guard Brown Basmati Rice Jar 1.5 Kg,1.5 Kg,510,500,Out of stock,Rice & pulses,QNE
Reem Rice Basmati sella 1kg,1 kg,310,300,Out of stock,Rice & pulses,QNE
Daal Maash 1kg,1 kg,200,185,Out of stock,Rice & pulses,QNE
Sunridge Daal Mash 1kg,1 kg,280,262,Out of stock,Rice & pulses,QNE
Reem Rice Steem Red 5kg,5 kg,699,,Out of stock,Rice & pulses,QNE
Sunridge Masoor Sabut 1 Kg,1 Kg,210,198,Out of stock,Rice & pulses,QNE
Shahenshah Sella 1kg,1 kg,325,315,Out of stock,Rice & pulses,QNE
Mughal Pure Basmati Rice 1kg,1 kg,148,,Out of stock,Rice & pulses,QNE
Reem Rice Steem  Black 5kg,5 kg,"2,020","2,010",Out of stock,Rice & pulses,QNE
Mughal Rice Super Kernel 1kg,1 kg,240,195,Out of stock,Rice & pulses,QNE
Mughal Pure Basmati Rice 5kg,5 kg,735,,Out of stock,Rice & pulses,QNE
Reem Rice Steem Black 1kg,1 kg,225,,Out of stock,Rice & pulses,QNE
Shahenshah Bachat Rice 1kg,1 kg,165,,Out of stock,Rice & pulses,QNE
Shahenshah Supreme King Of Rice 5kg,5 kg,"1,820",,Out of stock,Rice & pulses,QNE
Reem Rice Steem Blue 5kg,5 kg,"1,050",999,Out of stock,Rice & pulses,QNE
Guard Easy Cook Sella Rice Extra Extra Long Grain 1 Kg,1 Kg,390,380,Out of stock,Rice & pulses,QNE
Shahenshah Super Star Rice 1kg,1 kg,395,385,Out of stock,Rice & pulses,QNE
Shahenshah Sella Rice 5kg,5 kg,"1,760","1,750",Out of stock,Rice & pulses,QNE
Shahenshah Anmol Rice 1 kg,1 kg,250,240,Out of stock,Rice & pulses,QNE
Lazzat  Basmati Rice 5Kg,5 Kg,"1,200",,Out of stock,Rice & pulses,QNE
Black Chana 500gm,500 gm,85,,Out of stock,Rice & pulses,QNE
White Chana 500gm,500 gm,120,,Out of stock,Rice & pulses,QNE
Lazzat  Basmati Rice 5Kg,5 Kg,"1,200",,Out of stock,Rice & pulses,QNE
Maida 1kg,1 kg,180,160,Out of stock,Rice & pulses,QNE
Lazzat Basmati Rice 1 Kg Bag,1 Kg,225,,Out of stock,Rice & pulses,QNE
Shangrila Chilli Sauce 120ml,120 ml,68,,In stock,Cooking ingredients,QNE
National Chicken Tikka Masala 40gm,40 gm,90,73,In stock,Cooking ingredients,QNE
Shangrila Synthetic Vinegar  300ml,300 ml,100,94,In stock,Cooking ingredients,QNE
Shangrila Soy Sauce 120ml,120 ml,64,,In stock,Cooking ingredients,QNE
Polac Pineapple Slices Tin 565 Gm,565 Gm,560,,In stock,Cooking ingredients,QNE
Shangrila Lemon Juice 300ml,300 ml,185,175,In stock,Cooking ingredients,QNE
Shangrila Synthetic Vinegar 120ml,120 ml,59,49,In stock,Cooking ingredients,QNE
SAC Mango Essence Bottle,,62,52,In stock,Cooking ingredients,QNE
SAC R.Afza Essence Bottle,,62,52,In stock,Cooking ingredients,QNE
Mitchells Chick Peas 440 gm,440 gm,149,,In stock,Cooking ingredients,QNE
Bake Parlor Vinegar White 300 ml,300 ml,90,80,In stock,Cooking ingredients,QNE
Shan Garlic Paste 310 gm,310 gm,450,360,In stock,Cooking ingredients,QNE
Shangrila Worcestershire Sauce 800 ml,800 ml,260,,In stock,Cooking ingredients,QNE
300ML CHILLI SAUCE BAKE PARLOR,300 ML,135,115,In stock,Cooking ingredients,QNE
Buy 5 Knorr Chicken Cube 18gm & Get 1 Free,5 Knorr,360,300,In stock,Cooking ingredients,QNE
18GM CHICKEN ZAIQA POWDER DASHI,18 GM,18,,In stock,Cooking ingredients,QNE
Shangrila Trio Pack 300ml,300 ml,243,215,In stock,Cooking ingredients,QNE
National Corn Flour 300gm,300 gm,92,82,In stock,Cooking ingredients,QNE
Shangrila Synthetic Vinegar  800 ml,800 ml,172,,In stock,Cooking ingredients,QNE
National Quorma Recipe Mix 43gm,43 gm,100,80,In stock,Cooking ingredients,QNE
National Karahi Gosht 47g,47 g,100,80,In stock,Cooking ingredients,QNE
Shangrila Soy Sauce 800 ml,800 ml,275,259,In stock,Cooking ingredients,QNE
Ajinomoto Crispy Fry Coating Mix 80g,80 g,67,57,In stock,Cooking ingredients,QNE
Polac Pineapple Broken Slice In Heavy Syrup Imported 565 gm,565 gm,360,350,In stock,Cooking ingredients,QNE
Shan Ginger Garlic Paste 310 Gm Bottle,310 Gm,299,,Out of stock,Cooking ingredients,QNE
SAC Orange Color Bottle,,62,52,Out of stock,Cooking ingredients,QNE
Crispy Golden Bread Crumb - OffWhite 500 gm,500 gm,140,135,Out of stock,Cooking ingredients,QNE
Shangrila Worcestershire Sauce 300 ml,300 ml,109,99,Out of stock,Cooking ingredients,QNE
Buy 1 Masako Chicken Flavour Seasoning 10g & Get 1 Free,1 Masako,15,,Out of stock,Cooking ingredients,QNE
SAC Red Color Bottle,,45,40,Out of stock,Cooking ingredients,QNE
Rossmoor Instant Yeast 33 gm,33 gm,106,96,Out of stock,Cooking ingredients,QNE
SAC Green Color Bottle,,49,39,Out of stock,Cooking ingredients,QNE
Shangrila Apple Cider Vinegar 500ml,500 ml,195,158,Out of stock,Cooking ingredients,QNE
SAC Korma Essence Bottle,,55,52,Out of stock,Cooking ingredients,QNE
SAC Chocolate Essence Bottle,,45,38,Out of stock,Cooking ingredients,QNE
ROSSMOOR BAKING POWDER 50GM,50 GM,58,48,Out of stock,Cooking ingredients,QNE
ROSSMOOR COCOA POWDER 50GM,50 GM,100,87,Out of stock,Cooking ingredients,QNE
Shangrila Soy Sauce 300ml,300 ml,145,133,Out of stock,Cooking ingredients,QNE
ROSSMOOR SUPER FINE MUSTARD PASTE 165GM,165 GM,210,,Out of stock,Cooking ingredients,QNE
SAC Strawberry Essence Bottle,,55,52,Out of stock,Cooking ingredients,QNE
Rossmoor Cocoa Powder 200gm,200 gm,329,319,Out of stock,Cooking ingredients,QNE
Rossmoor Cocoa Powder  100 gm,100 gm,170,165,Out of stock,Cooking ingredients,QNE
Shangrila Natural Vinegar 500ml,500 ml,160,150,Out of stock,Cooking ingredients,QNE
750ML CHILLI SAUCE BAKE PARLOR,750 ML,275,235,Out of stock,Cooking ingredients,QNE
SAC Banana Essence Bottle,,55,52,Out of stock,Cooking ingredients,QNE
Dipitt Habanero Ketchup 310ml,310 ml,135,125,Out of stock,Cooking ingredients,QNE
Rossmoor Gelatine 50 gm,50 gm,100,87,Out of stock,Cooking ingredients,QNE
Mitchells Chick Peas 800Gm,800 Gm,199,,Out of stock,Cooking ingredients,QNE
Safa Tomato Paste  800 gm,800 gm,345,,Out of stock,Cooking ingredients,QNE
Rossmoor Mustard Powder  100 gm,100 gm,100,90,Out of stock,Cooking ingredients,QNE
Shangrila Chilli Sauce Pet Bottle 800ml,800 ml,264,254,Out of stock,Cooking ingredients,QNE
Shangrila Dark Soy Sauce 500ml,500 ml,500,490,Out of stock,Cooking ingredients,QNE
Dipitt Sweet Thai Chilli Sauce 300ml,300 ml,260,250,Out of stock,Cooking ingredients,QNE
Mitchells Sweet Corn 450 gm,450 gm,135,,Out of stock,Cooking ingredients,QNE
Shan Ginger Paste Bottle 310 Gm,310 Gm,350,,Out of stock,Cooking ingredients,QNE
Delmonte Tidbits Pineapple Tin 432gm,432 gm,280,260,Out of stock,Cooking ingredients,QNE
Del Monte Pineapple Tidbits 560 gm,560 gm,194,,Out of stock,Cooking ingredients,QNE
Bake Parlor Vinegar White 750 ml,750 ml,165,145,Out of stock,Cooking ingredients,QNE
Salmans Strawberry Topping  623gm,623 gm,500,490,Out of stock,Cooking ingredients,QNE
Freshmate Chicken haleem 275gm,275 gm,310,,Out of stock,Cooking ingredients,QNE
Freshmate Lahori Choley 275gm,275 gm,294,284,Out of stock,Cooking ingredients,QNE
Freshmate Aaloo Bhujia 275gm,275 gm,268,258,Out of stock,Cooking ingredients,QNE
Freshmate Chicken Biryani Boneless 275gm,275 gm,320,310,Out of stock,Cooking ingredients,QNE
Freshmate Chicken Hari Mirch Qeema 250gm,250 gm,423,413,Out of stock,Cooking ingredients,QNE
Hosen Baby Corn Young Corn Spear Tin 425gm,425 gm,215,,Out of stock,Cooking ingredients,QNE
Green Chilli Sauce Mitchells 280Gm,280 Gm,160,,Out of stock,Cooking ingredients,QNE
Hosen Green Peas Food Tin 397gm,397 gm,129,,Out of stock,Cooking ingredients,QNE
Happy Home Baking Soda 100G,100 G,37,36,Out of stock,Cooking ingredients,QNE
Dipitt Buffalo Hot Sauce Classic 300Gm,300 Gm,260,,Out of stock,Cooking ingredients,QNE
Figaro Stuffed Green Olives  270 Gm,270 Gm,475,,Out of stock,Cooking ingredients,QNE
American Garden Sliced Jalapeno Peppers 454 gm,454 gm,565,,Out of stock,Cooking ingredients,QNE
