Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
Candyland Marshmallow Fluffs 24's Box,,199,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Marshmallow,Imtiaz
Candyland Marshmallow Junior Puff Party 18's 360g Rs.10/-,360 g,149,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Marshmallow,Imtiaz
Candyland Marshmallow Choco Strawberry 24's Box,,199,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Marshmallow,Imtiaz
Candyland Marshmallow Choco Vanilla 24's Box,,199,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Marshmallow,Imtiaz
Candyland Jelly Chilli Mili Party Pack,,40,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Jellies,Imtiaz
Candyland Jelly ABC Party Pack,,42,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Jellies,Imtiaz
Candyland Jelly Burger 24'S Box,,389,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Jellies,Imtiaz
Candyland Jelly Amrood Rs.10 18'S Box,,144,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Jellies,Imtiaz
Candyland Jelly Bottle Rs.10 18'S Box,,144,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Jellies,Imtiaz
Candyland Jelly Fuzzy O Rs.10 18'S Box,,144,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Jellies,Imtiaz
Lotte Spout Gum Peppermint Stick 23.8g,23.8 g,33,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Chewing Gum,Imtiaz
Lotte Spout Gum Cinnamon Stick 23.8g,23.8 g,33,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Chewing Gum,Imtiaz
Lotte Spout Gum Spearmint Stick 23.8g,23.8 g,33,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Chewing Gum,Imtiaz
Lotte Spout Gum Strawberry Stick 23.8g,23.8 g,33,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Chewing Gum,Imtiaz
Fruit Fusion Bubblegum Watermellon With Mint 16G,16 G,46,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Chewing Gum,Imtiaz
Fruit Fusion Bubblegum Strawberry With Apple 16G,16 G,46,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Chewing Gum,Imtiaz
Oxydents Chewing Gum Cinnamint 8'S,,46,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Chewing Gum,Imtiaz
Oxydents Chewing Gum Redberry Mint 8'S,,46,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Chewing Gum,Imtiaz
Fruit Fusion Bubble Gum Mix Berries 16G,16 G,46,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Chewing Gum,Imtiaz
Hilal Ding Dong Splash Original 24'S,,102,,In stock,Snacks & Confectionary > Chewing Gums & Candies > Chewing Gum,Imtiaz
